castTotalLikes,directorLikes,actor1likes,criticReviews,fbPosters,duration,actor3likes,actor2,userReviews,gross,actor1,title,userVotes,language,country,contentRating,budget,year,actor2Likes,rating,aspectRatio,movieLikes,genre,subgenre
4834,0,1000,723,0,178,855,Joel David Moore,3054,760505847,CCH Pounder,Avatar ,886204,English,USA,PG-13,237000000,2009,936,7.9,1.78,33000,Action,Adventure
48350,563,40000,302,0,169,1000,Orlando Bloom,1238,309404152,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,English,USA,PG-13,300000000,2007,5000,7.1,2.35,0,Action,Adventure
11700,0,11000,602,1,148,161,Rory Kinnear,994,200074175,Christoph Waltz,Spectre ,275868,English,UK,PG-13,245000000,2015,393,6.8,2.35,85000,Action,Adventure
106759,22000,27000,813,0,164,23000,Christian Bale,2701,448130642,Tom Hardy,The Dark Knight Rises ,1144337,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000,Action,Thriller
143,131,131,,0,,,Rob Walker,,,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,,,,,,12,7.1,,0,Documentary,
1873,475,640,462,1,132,530,Samantha Morton,738,73058679,Daryl Sabara,John Carter ,212204,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000,Action,Adventure
46055,0,24000,392,0,156,4000,James Franco,1902,336530303,J.K. Simmons,Spider-Man 3 ,383056,English,USA,PG-13,258000000,2007,11000,6.2,2.35,0,Action,Adventure
2036,15,799,324,1,100,284,Donna Murphy,387,200807262,Brad Garrett,Tangled ,294810,English,USA,PG,260000000,2010,553,7.8,1.85,29000,Adventure,Animation
92000,0,26000,635,4,141,19000,Robert Downey Jr.,1117,458991599,Chris Hemsworth,Avengers: Age of Ultron ,462669,English,USA,PG-13,250000000,2015,21000,7.5,2.35,118000,Action,Adventure
58753,282,25000,375,3,153,10000,Daniel Radcliffe,973,301956980,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,English,UK,PG,250000000,2009,11000,7.5,2.35,10000,Adventure,Family
24450,0,15000,673,0,183,2000,Lauren Cohan,3018,330249062,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000,Action,Adventure
29991,0,18000,434,0,169,903,Marlon Brando,2367,200069408,Kevin Spacey,Superman Returns ,240396,English,USA,PG-13,209000000,2006,10000,6.1,2.35,0,Action,Adventure
